participant	condition	fac_1	fac_2	rating	item	context	f1_BAD_0auch_m	f2_BAD_1auch_f	f3_bad_0auch_f	f4_bad_1auch_m	f5_GOOD_1auch_f	f6_GOOD_1auch_m	f7_GOOD_0auch_m	f8_GOOD_1auch_f	f9_good_1auch_f	f10_good_1auch_m	f11_good_0auch_f	f12_good_1auch_m	f13_good_0auch_f	f14_good_1auch_m	f15_good_0auch_m	f16_good_1auch_f
490	cd4_com_-n	com	-n	5	60_cd4_ct15	ct15	3	4	1	1	6	6	6	6	4	5	5	5	5	5	5	1
496	cd1_ass_+n	ass	+n	2	17_cd1_ct05	ct05	2	3	1	1	6	6	6	6	6	6	6	1	5	6	4	3
496	cd1_ass_+n	ass	+n	1	53_cd1_ct14	ct14	2	3	1	1	6	6	6	6	6	6	6	1	5	6	4	3
496	cd2_ass_-n	ass	-n	3	10_cd2_ct03	ct03	2	3	1	1	6	6	6	6	6	6	6	1	5	6	4	3
496	cd2_ass_-n	ass	-n	1	46_cd2_ct12	ct12	2	3	1	1	6	6	6	6	6	6	6	1	5	6	4	3
496	cd3_com_+n	com	+n	6	3_cd3_ct01	ct01	2	3	1	1	6	6	6	6	6	6	6	1	5	6	4	3
496	cd3_com_+n	com	+n	6	39_cd3_ct10	ct10	2	3	1	1	6	6	6	6	6	6	6	1	5	6	4	3
496	cd4_com_-n	com	-n	6	32_cd4_ct08	ct08	2	3	1	1	6	6	6	6	6	6	6	1	5	6	4	3
496	cd4_com_-n	com	-n	5	60_cd4_ct15	ct15	2	3	1	1	6	6	6	6	6	6	6	1	5	6	4	3
509	cd1_ass_+n	ass	+n	5	9_cd1_ct03	ct03	1	3	1	1	6	5	5	3	3	3	5	5	5	4	5	4
509	cd1_ass_+n	ass	+n	5	45_cd1_ct12	ct12	1	3	1	1	6	5	5	3	3	3	5	5	5	4	5	4
509	cd2_ass_-n	ass	-n	5	2_cd2_ct01	ct01	1	3	1	1	6	5	5	3	3	3	5	5	5	4	5	4
509	cd2_ass_-n	ass	-n	4	38_cd2_ct10	ct10	1	3	1	1	6	5	5	3	3	3	5	5	5	4	5	4
509	cd3_com_+n	com	+n	3	31_cd3_ct08	ct08	1	3	1	1	6	5	5	3	3	3	5	5	5	4	5	4
509	cd3_com_+n	com	+n	5	59_cd3_ct15	ct15	1	3	1	1	6	5	5	3	3	3	5	5	5	4	5	4
509	cd4_com_-n	com	-n	4	24_cd4_ct06	ct06	1	3	1	1	6	5	5	3	3	3	5	5	5	4	5	4
